id,created_at,text
866962821392850944,2017-05-23 10:23:38,"""There may be times when we are powerless to prevent injustice, but there must never be a time when we fail to protest.""

Elie Wiesel"
866749937668718592,2017-05-22 20:17:43,Thanks for being there today and for your service to our nation! https://t.co/3khrLJOXpH
866746627603791872,2017-05-22 20:04:34,RT @JessyMichele: So much gratitude to @CoryBooker for all his advocacy to make our communities safer and keep families together! @cut_50 h…
866746575292432384,2017-05-22 20:04:21,@GlassRoots @barbara07040 @WholeFoods I'm so grateful for all you do for our kids. Thank you!
866733677807628289,2017-05-22 19:13:06,RT @RVacchianoSNY: Sen. @CoryBooker and @JustinTuck doing good work at the Newark Mentoring Movement golf outing at the Bayonne Golf Club t…
866732629470609409,2017-05-22 19:08:56,RT @SHEWinsNJ: #SHEWins Scholar Celebrity Sasha with former Giants star player @JustinTuck &amp; NJSenator @CoryBooker @newarkmentoring Golf Cl…
866731679695634433,2017-05-22 19:05:10,@mishy0869 I do. Reach out of @ghelmy who is my NJ State director. Hope we can address any issue or concern you have.
866731447142547456,2017-05-22 19:04:14,@barbara07040 @GlassRoots @WholeFoods I'm a huge fan of Glass Roots!
866706403506913280,2017-05-22 17:24:43,RT @amprog: First episode of #thinkingcap is up! We look at the Comey news &amp; calls for impeachment w/ @CoryBooker and @benwikler https://t.…
866706316332584960,2017-05-22 17:24:23,RT @CAPAction: First episode of #thinkingcap is up!  We talk Comey news and calls for impeachment with @CoryBooker and @benwikler https://t…
866706253439021056,2017-05-22 17:24:08,"RT @SenBookerOffice: Con-GRAD-ulations to @bloomfieldedu's great class of 2017! 

I see you. I love you. https://t.co/KfAX4j0yoo"
866706153425825792,2017-05-22 17:23:44,RT @SenBookerOffice: Joining @32BJSEIU members to call for higher wages for subcontracted Newark Airport workers. https://t.co/RyIzxOjxoO
866706127576330240,2017-05-22 17:23:38,RT @nwlc: Hot off the press @USATODAY: we’re asking Secretary Acosta to protect workers’ retirement savings. https://t.co/P8XHaH5sQj https:…
866706089592709122,2017-05-22 17:23:29,"RT @SenBookerOffice: .@CoryBooker, @SenatorMenendez &amp; 17 Senators Urge Appropriators to Support Small Business Accelerators: https://t.co/5…"
866664661474848769,2017-05-22 14:38:51,"At a great Mentoring event here in Bayonne, NJ https://t.co/s5qMFsHjbT"
866662722703896576,2017-05-22 14:31:09,Looking forward to NMM's 6th Annual Charity Golf Outing today! Can't wait for another great event @JustinTuck… https://t.co/RMIbfcRSuG
866626938638663680,2017-05-22 12:08:57,"@impeach_resist Either way, you have my gratitude for your passion, for your desire to not only see justice but wor… https://t.co/19XdslfNBz"
866626685478764544,2017-05-22 12:07:57,@impeach_resist You clearly don't follow me that closely. And no matter what I'll speak kindness. From Mandela to G… https://t.co/3dpG3MRR63
866622124722671617,2017-05-22 11:49:50,"""The world is full of angels; if you can’t find one, be one.""
Matshona Dhliwayo"
866614477533450241,2017-05-22 11:19:27,@jennine619 @CTDems It is. But there have been and will be other events we do in Detroit.
866453075229364225,2017-05-22 00:38:05,Excited to go to Detroit (my mom was born there) to support Sen Debbie Stabenow. I hope you will come out &amp; join us. https://t.co/t4qx4YQyVo
866339397544837120,2017-05-21 17:06:22,"Please read this profound speech by Mayor of New Orleans, Mitch Landrieu re: the removal of confederate monuments. https://t.co/QTPO7h8CTH"
866338902105313281,2017-05-21 17:04:24,@robbdegidio @HipCityVeg @blackbirdpizza @VStreetFood @vedgerestaurant Yes. So good.
866134152386678784,2017-05-21 03:30:48,@realRyanClouse Thank you Ryan. All the best to you.
866087813149736960,2017-05-21 00:26:40,@NicholasFerroni I'd love to visit your class/school if ever possible: @ghelmy
866087442100695040,2017-05-21 00:25:11,It is AWESOME. IN Philly also try @HipCityVeg and @blackbirdpizza https://t.co/0ePupBEg3M
866087195895103488,2017-05-21 00:24:13,@ImmCrimDefense My vegetarian sister! All the best on your journey.
866086980584693760,2017-05-21 00:23:21,And you are wonderful. I sincerely give you my respect and I honor your right to your opinion. https://t.co/uX2Ca8VHxu
866086826943160320,2017-05-21 00:22:45,Any vegetarians/vegans want to give constructive response to this? https://t.co/CjRTCEoUr6
866086638212009989,2017-05-21 00:22:00,When it comes to humanity there are no easy opposites; black/white; Dem/Repub; vegan/carnivore we're still so much… https://t.co/JXOgPfmbRe
866085340431482880,2017-05-21 00:16:50,Everybody was telling me I have to come back for their vegan brunch. Go Killer Vegan in Union! https://t.co/56ArT8PdU9
866084864851755008,2017-05-21 00:14:57,Been a vegetarian since 1992 and vegan since 2014. https://t.co/prVJVlJ1XK
866083742070321152,2017-05-21 00:10:29,@PhilipJWalsh https://t.co/j8ydDyiImv
866083313697599488,2017-05-21 00:08:47,A lot! https://t.co/zEmiVaDzkr
866082399414886400,2017-05-21 00:05:09,"In Union, New Jersey at one of my favorite vegan places, meeting great folks. https://t.co/PC22QAndiB"
866021501086183425,2017-05-20 20:03:10,"No, my brother is a pescatarian. Yes, I know, it sounds kind of fishy. https://t.co/OTBU6b2tPr"
866021122512433152,2017-05-20 20:01:40,Yes and their names are Carolyn and Cary. https://t.co/uLXLBbufDw
866020730131165184,2017-05-20 20:00:06,"Come on, why adorable? How about handsome, rugged, or strong. https://t.co/cILRVhIgan"
866019658549395457,2017-05-20 19:55:51,"With my brother Cary headed to Somerset, NJ for African American Day Parade events. https://t.co/yoUydrbaea"
866017540492939264,2017-05-20 19:47:26,@aclement0318 @NurseBoyStanley @igorvolsky https://t.co/j8ydDyiImv
866017051470696450,2017-05-20 19:45:29,@shoebrian80 https://t.co/j8ydDyiImv
866016997565489155,2017-05-20 19:45:16,@shoebrian80 https://t.co/dYXnIWs3rV
866015847332106241,2017-05-20 19:40:42,@NurseBoyStanley @whatsright0 @igorvolsky Medicare for all and love.
866015738057940993,2017-05-20 19:40:16,@NurseBoyStanley @whatsright0 @igorvolsky Our nation needs it.
866012577494700033,2017-05-20 19:27:42,Love Kevin Stanley. https://t.co/RacXMZuraY
866012292885905408,2017-05-20 19:26:35,An important tweet storm. https://t.co/EqiESRsJUJ
866011027250532353,2017-05-20 19:21:33,@Fatmaestro2 @igorvolsky @neeratanden Listen to it. We did discuss pharma.
866010881909551104,2017-05-20 19:20:58,"RT @igorvolsky: Launched podcast #ThinkingCAP this week! 

1st episode: @CoryBooker talks impeachment &amp; sustaining Resistance: https://t.co…"
866010507408494592,2017-05-20 19:19:29,"RT @CAPAction: We launched podcast #ThinkingCAP this week 

1st epi: @CoryBooker on impeachment.@benwikler on sustaining Resistance https:/…"
866010384670613504,2017-05-20 19:19:00,"RT @ghelmy: We have invested in building prisons but not on building roads, bridges, rail @CoryBooker tells the packed house @LeadershipNwk…"
866010308833312768,2017-05-20 19:18:41,RT @karen_yi: Sen. @CoryBooker taking about infrastructure crisis facing country and NJ at @Rutgers_Newark https://t.co/Wp3taO8coP
866010152876613633,2017-05-20 19:18:04,This should alarm and motivate us all. https://t.co/PRzZb6CfIl
866009429975740418,2017-05-20 19:15:12,"RT @northjersey: 'Small acts' define your life, @CoryBooker told Bloomfield College graduates https://t.co/jQLAP7bHJH https://t.co/nzTAVcda…"
866009371318333440,2017-05-20 19:14:58,Never will forget. Such a great part of our community. https://t.co/P76TFfNrS4
