source,id_str,text,created_at,retweet_count,in_reply_to_user_id_str,favorite_count,is_retweet
Twitter for iPhone,8.63E+17,"...Maybe the best thing to do would be to cancel all future ""press briefings"" and hand out written responses for the sake of accuracy???",Fri May 12 12:07:36 +0000 2017,18891,,82100,FALSE
Twitter for iPhone,8.63E+17,As a very active President with lots of things happening it is not possible for my surrogates to stand at podium with perfect accuracy!....,Fri May 12 11:59:00 +0000 2017,13365,,63039,FALSE
Twitter for iPhone,8.63E+17,The Fake Media is working overtime today!,Fri May 12 11:53:48 +0000 2017,20507,,80366,FALSE
Twitter for iPhone,8.63E+17,Again the story that there was collusion between the Russians &amp; Trump campaign was fabricated by Dems as an excuse for losing the election.,Fri May 12 11:51:56 +0000 2017,19038,,78949,FALSE
Twitter for iPhone,8.63E+17,Yesterday on the same day- I had meetings with Russian Foreign Minister Sergei Lavrov and the FM of Ukraine Pavlo… https://t.co/hm4U54DCQO,Thu May 11 21:54:24 +0000 2017,13041,,53192,FALSE
Twitter for iPhone,8.63E+17,Russia must be laughing up their sleeves watching as the U.S. tears itself apart over a Democrat EXCUSE for losing the election.,Thu May 11 20:34:25 +0000 2017,25513,,95498,FALSE
Twitter for iPhone,8.63E+17,We finally agree on something Rosie. https://t.co/BSP5F3PgbZ,Thu May 11 19:55:34 +0000 2017,42487,,124716,FALSE
Twitter for iPhone,8.63E+17,'Presidential Executive Order on the Establishment of Presidential Advisory Commission on Election Integrity'??… https://t.co/kVG8r7qZS5,Thu May 11 19:35:22 +0000 2017,9956,,41599,FALSE
Twitter for iPhone,8.63E+17,'Presidential Executive Order on Strengthening the Cybersecurity of Federal Networks and Critical Infrastructure'… https://t.co/kQDBvXPekk,Thu May 11 19:34:00 +0000 2017,8387,,38102,FALSE
Twitter for iPhone,8.62E+17,The Democrats should be ashamed. This is a disgrace!#DrainTheSwamp https://t.co/UfbKEECm2V,Thu May 11 00:14:58 +0000 2017,42022,,102512,FALSE
